mooring	RAS_id	locus_tag	site	lat	lon	depth	date	month	season	chl_a	temp	salinity	sig	O2_conc	O2_sat	NO3_NO2	PO4	NO2	SiO4	CO2	pH	AW	PW	watermass	ice_conc	ice_cover	ice_past	clip_id
EGC-3	07_2016_EGC_1	16S	EGC	78.831	-2.7938	80.16	2016-07-10	Jul	summer	0.29	3.44	35.01	27.85	296.24	90.33	11.31	0.76	0.05	4.47	NA	NA	91	9	AW	0.00	low	26.68	1_clip
EGC-3	07_2016_EGC_2	16S	EGC	78.831	-2.7938	83.15	2016-07-26	Jul	summer	0.24	3.52	35.01	27.84	295.50	90.25	NA	NA	NA	NA	NA	NA	90	10	AW	12.26	low	3.54	2_clip
EGC-3	08_2016_EGC_1	16S	EGC	78.831	-2.7938	79.79	2016-08-11	Aug	autumn	0.32	3.25	34.95	27.83	290.62	88.15	10.95	0.74	0.05	4.34	NA	NA	84	16	AW	3.27	low	22.68	3_clip
EGC-3	08_2016_EGC_2	16S	EGC	78.831	-2.7938	81.13	2016-08-27	Aug	autumn	NA	4.36	35.09	27.82	291.12	90.80	12.84	0.81	0.00	4.44	NA	NA	99	1	AW	9.90	low	5.37	4_clip
EGC-3	09_2016_EGC_1	16S	EGC	78.831	-2.7938	81.14	2016-09-12	Sep	autumn	NA	0.08	34.47	27.67	306.14	85.43	NA	NA	NA	NA	NA	NA	32	68	mix	16.95	low	58.58	5_clip
EGC-3	09_2016_EGC_2	16S	EGC	78.831	-2.7938	87.05	2016-09-28	Sep	autumn	NA	-0.44	34.38	27.63	314.27	86.43	NA	NA	NA	NA	NA	NA	22	78	mix	71.61	high	27.89	6_clip
EGC-3	10_2016_EGC_1	16S	EGC	78.831	-2.7938	79.88	2016-10-14	Oct	autumn	NA	-1.83	34.21	27.54	348.50	92.24	5.05	0.44	0.00	2.31	NA	NA	6	94	PW	98.51	high	79.53	7_clip
EGC-3	10_2016_EGC_2	16S	EGC	78.831	-2.7938	87.56	2016-10-30	Oct	autumn	NA	3.90	34.93	27.74	294.60	90.76	NA	NA	NA	NA	NA	NA	80	20	mix	12.67	low	88.66	8_clip
EGC-3	11_2016_EGC	16S	EGC	78.831	-2.7938	80.02	2016-11-15	Nov	winter	NA	1.50	34.61	27.70	306.34	88.73	NA	NA	NA	NA	NA	NA	47	53	mix	36.08	medium	49.47	9_clip
EGC-3	12_2016_EGC_1	16S	EGC	78.831	-2.7938	89.74	2016-12-01	Dec	winter	NA	-0.47	34.41	27.65	312.83	86.00	7.45	0.56	0.00	3.58	NA	NA	27	73	mix	70.15	high	61.91	10_clip
EGC-3	12_2016_EGC_2	16S	EGC	78.831	-2.7938	83.61	2016-12-17	Dec	winter	NA	3.37	34.83	27.71	302.81	92.04	NA	NA	NA	NA	NA	NA	69	31	mix	99.12	high	56.04	11_clip
EGC-3	01_2017_EGC_1	16S	EGC	78.831	-2.7938	150.14	2017-01-02	Jan	winter	NA	3.57	35.02	27.85	295.36	90.33	13.14	0.81	0.00	5.00	NA	NA	92	8	AW	0.00	low	38.29	12_clip
EGC-3	01_2017_EGC_2	16S	EGC	78.831	-2.7938	86.18	2017-01-18	Jan	winter	NA	3.14	34.95	27.83	304.44	92.09	11.72	0.74	0.00	4.23	NA	NA	84	16	AW	90.99	high	38.54	13_clip
EGC-3	02_2017_EGC_1	16S	EGC	78.831	-2.7938	108.64	2017-02-03	Feb	winter	NA	-0.72	34.23	27.52	320.43	87.35	7.8	0.59	0.00	4.19	NA	NA	5	95	PW	85.02	high	92.24	14_clip
EGC-3	02_2017_EGC_2	16S	EGC	78.831	-2.7938	81.83	2017-02-19	Feb	winter	NA	-1.72	33.75	27.16	347.38	91.89	4.91	0.47	0.00	3.64	NA	NA	0	100	PW	84.93	high	87.46	15_clip
EGC-3	03_2017_EGC_1	16S	EGC	78.831	-2.7938	80.02	2017-03-07	Mar	winter	NA	-1.39	34.12	27.45	328.98	88.06	6.5	0.55	0.00	4.48	NA	NA	0	100	PW	94.52	high	93.56	16_clip
EGC-3	03_2017_EGC_2	16S	EGC	78.831	-2.7938	86.05	2017-03-23	Mar	winter	NA	1.83	34.78	27.81	312.51	91.41	11.83	0.74	0.00	4.52	NA	NA	67	33	mix	91.78	high	87.27	17_clip
EGC-3	04_2017_EGC_1	16S	EGC	78.831	-2.7938	79.83	2017-04-08	Apr	winter	NA	-0.30	34.35	27.59	318.28	87.83	NA	NA	NA	NA	NA	NA	18	82	PW	96.88	high	94.16	18_clip
EGC-3	04_2017_EGC_2	16S	EGC	78.831	-2.7938	221.71	2017-04-24	Apr	spring	NA	2.64	35.03	27.95	309.72	92.60	12.61	0.78	0.00	4.69	NA	NA	98	2	AW	73.65	high	91.67	19_clip
EGC-3	05_2017_EGC_1	16S	EGC	78.831	-2.7938	80.99	2017-05-10	May	spring	NA	3.16	35.02	27.89	307.14	93.01	12.2	0.75	0.01	4.61	NA	NA	33	67	mix	93.84	high	83.02	20_clip
EGC-3	05_2017_EGC_2	16S	EGC	78.831	-2.7938	90.93	2017-05-26	May	spring	0.68	3.44	35.04	27.88	307.21	93.67	12.03	0.77	0.02	4.54	NA	NA	30	70	mix	69.49	high	75.67	21_clip
EGC-3	06_2017_EGC_1	16S	EGC	78.831	-2.7938	85.89	2017-06-11	Jun	spring	NA	0.86	34.57	27.71	306.96	87.47	10.7	0.75	0.00	5.69	NA	NA	28	72	mix	99.63	high	73.65	22_clip
EGC-3	06_2017_EGC_2	16S	EGC	78.831	-2.7938	128.89	2017-06-27	Jun	summer	0.44	3.61	35.02	27.85	303.26	92.84	12.09	0.76	0.01	4.41	NA	NA	26	74	mix	52.94	medium	72.76	23_clip
