1_clip	10_clip	11_clip	12_clip	13_clip	14_clip	15_clip	16_clip	17_clip	18_clip	19_clip	2_clip	20_clip	21_clip	22_clip	23_clip	24_clip	25_clip	26_clip	27_clip	28_clip	29_clip	3_clip	30_clip	31_clip	32_clip	33_clip	34_clip	35_clip	36_clip	37_clip	38_clip	39_clip	4_clip	40_clip	41_clip	42_clip	43_clip	44_clip	45_clip	46_clip	47_clip	48_clip	49_clip	5_clip	50_clip	51_clip	52_clip	53_clip	54_clip	55_clip	56_clip	57_clip	58_clip	59_clip	6_clip	60_clip	61_clip	62_clip	63_clip	64_clip	65_clip	66_clip	67_clip	68_clip	69_clip	7_clip	70_clip	71_clip	72_clip	73_clip	74_clip	75_clip	76_clip	77_clip	78_clip	79_clip	8_clip	80_clip	81_clip	82_clip	83_clip	84_clip	85_clip	86_clip	87_clip	88_clip	89_clip	9_clip	90_clip	91_clip	92_clip	93_clip	94_clip
sq1	4957	8474	5841	3208	3200	10777	8738	7059	7478	4958	9648	28891	3159	5601	3786	2781	5281	15059	35089	12924	7840	8933	9430	10212	917	5917	2215	5848	3596	4916	1294	5436	3792	8227	1847	10279	16067	10745	3971	13273	24752	9386	12126	20497	16080	50728	15549	6071	12347	14730	7187	2949	1591	1820	1013	14207	1874	2933	2518	1009	21143	5322	3367	1076	2514	1524	7092	1515	2348	13972	16290	16009	9718	11794	3307	4494	5205	7564	734	1244	3280	1889	4625	5004	1925	4635	4770	6955	8960	10002	6428	14014	11262	9991
sq2	1892	1114	2189	1406	1663	2201	1474	1158	2252	1382	2916	40989	3690	6377	1057	3750	6091	13179	12004	3471	3142	1834	6659	6081	435	3745	978	2974	2356	2607	583	869	1555	3227	713	5132	6442	8189	4088	9736	5817	10931	10099	16830	10178	41018	18056	6051	9858	8986	2792	1254	719	987	422	12635	647	1027	869	344	12789	3745	3411	1044	2900	2129	1264	1520	3453	6602	4818	3505	2363	5611	1154	3233	3765	2766	282	716	1573	1028	1792	1962	1073	2226	4057	5506	4095	8195	3154	3958	3510	2494
sq3	5449	5058	5121	1698	1050	4425	2368	2121	3488	1882	2836	31885	4322	8903	5516	4022	4669	1658	7405	539	659	991	6575	2783	285	2075	617	2113	1819	2518	496	2228	2067	4554	827	5533	10629	7571	1955	5714	3212	4974	1551	21354	7937	22346	3079	1785	2392	9851	1794	611	504	451	454	11270	1121	1199	1050	491	19966	4196	3443	975	1621	1120	2751	1425	1239	1171	846	643	745	1046	553	1395	933	2536	171	413	1292	785	1912	2223	935	2195	3186	6624	4683	5646	2864	2018	848	1392
sq4	1574	2813	6166	2536	1365	2915	542	1149	5930	3627	3036	11105	3378	7607	3687	4327	2287	1305	4724	745	572	2064	1291	2992	139	3235	1020	4339	2625	2101	864	2746	3241	1645	952	5181	5002	4362	3484	3645	866	2505	1268	10517	2943	14956	2837	1755	5114	8271	3168	672	758	785	722	1426	1643	2205	1820	770	13219	3434	2689	775	1310	736	606	1308	821	776	550	950	591	2742	3038	2874	3481	1934	538	1025	2674	1597	3777	3957	1333	3956	3336	3805	1939	4433	3230	2181	447	2370
sq5	1208	378	991	642	804	577	210	155	1730	1113	1479	8396	733	1678	527	1068	1826	3901	10018	3408	2030	3551	1623	3509	202	1924	640	3286	1477	1026	599	1784	1244	999	668	3106	3644	3034	2185	4860	3973	3519	4019	6815	2115	9028	4286	1622	5073	4707	1922	621	376	614	276	838	451	962	730	288	5139	1971	1304	494	1024	662	153	613	1017	3192	3387	3688	1960	4238	1722	1871	2614	1343	490	735	2002	974	2236	2284	739	2027	1968	2876	1124	5220	3796	5162	2613	3089
sq6	39	1390	5523	2181	3575	2494	1013	1147	7812	4140	5010	260	1711	3682	1322	5609	1452	309	650	79	36	1067	66	1910	771	9121	3796	12853	5924	3439	2207	5870	3620	237	1851	1313	1102	841	641	359	30	599	365	295	456	4724	2388	1963	3075	1662	3155	1507	1728	3051	1302	152	1245	2984	2380	963	5088	788	494	320	1060	589	315	653	357	24	26	37	10	446	1400	3962	12029	1779	1156	2597	6241	1681	5446	7443	2126	4382	454	323	2238	626	178	34	9	20
sq7	882	258	563	426	414	175	51	6	1020	610	1028	5584	467	1000	350	662	1295	1542	6714	3325	1850	4117	1362	3520	203	1390	557	1992	858	710	350	1214	810	778	425	2626	3034	2609	1391	3652	3041	2925	3022	4106	1735	6791	4497	1583	7189	3781	1205	720	200	369	168	690	281	471	332	132	3948	1113	796	277	825	467	7	376	702	1627	2854	4499	1855	5038	1249	1180	1695	1399	283	440	1109	492	1126	1501	560	1581	1308	1946	1305	3224	2149	4853	2397	2378
sq8	256	3380	4535	2040	1997	5144	1601	2796	4901	1541	2026	6313	1032	979	2027	1031	767	3404	3129	419	140	394	808	1184	175	2704	800	2992	3991	3728	562	1239	2308	1224	617	638	628	178	107	143	18	172	707	8130	2243	8247	3185	935	1761	668	3064	623	1073	1128	583	2272	1052	1874	1880	521	2421	134	108	95	204	262	3297	449	336	468	431	193	120	387	337	2376	2301	2652	329	872	2214	1932	2066	2656	619	2020	256	106	4082	206	79	59	6	65
sq9	82	0	32	21	685	532	5161	11418	10383	19308	9269	0	4815	17373	46468	19129	390	4	1	9	5	1	0	6	1	4	24	10	4	18	0	171	19	0	22	132	828	12	142	21	26	16	7	18	2	0	1	1	1	6	3	4	0	0	1	1	1	1	8	25	0	1	1	1	0	0	4	0	0	0	0	0	1	0	2	2	0	2	0	0	0	1	5	2	1	0	2	0	0	0	0	3	3	1
sq10	536	823	1261	942	925	902	651	490	2357	1472	1167	3577	619	1472	510	855	879	2582	5039	3079	1873	2588	831	2691	155	1768	661	2946	1353	795	567	1404	1322	736	476	2278	2251	1392	924	2015	1565	1603	1922	3249	1637	4921	2705	1026	3778	2904	2633	675	418	597	338	572	570	1184	934	266	3758	918	544	252	477	329	329	349	500	2761	3392	3895	2108	3260	1641	1573	2112	2066	344	638	1672	1071	2229	1890	733	1846	1346	1782	1428	2230	1655	2120	1056	1456
