1_clip	10_clip	11_clip	12_clip	13_clip	14_clip	15_clip	16_clip	17_clip	18_clip	19_clip	2_clip	20_clip	21_clip	22_clip	23_clip	24_clip	25_clip	26_clip	27_clip	28_clip	29_clip	3_clip	30_clip	31_clip	32_clip	33_clip	34_clip	35_clip	36_clip	37_clip	38_clip	39_clip	4_clip	40_clip	41_clip	42_clip	43_clip	44_clip	45_clip	46_clip	47_clip	48_clip	49_clip	5_clip	50_clip	51_clip	52_clip	53_clip	54_clip	55_clip	56_clip	57_clip	58_clip	59_clip	6_clip	60_clip	61_clip	62_clip	63_clip	64_clip	65_clip	66_clip	67_clip	68_clip	69_clip	7_clip	70_clip	71_clip	72_clip	73_clip	74_clip	75_clip	76_clip	77_clip	78_clip	79_clip	8_clip	80_clip	81_clip	82_clip	83_clip	84_clip	85_clip	86_clip	87_clip	88_clip	89_clip	9_clip	90_clip	91_clip	92_clip	93_clip	94_clip	95_clip	96_clip
sq1	119	5	3751	262	6514	4382	5808	743	43	47	16619	20	1685	2054	8033	393	170	2	8253	16149	4	8	12723	18	3	120	50	19758	19343	25701	21534	32704	13686	5212	6114	4188	50	14	22	9	18	6	4	557	190	7356	9011	355	15962	13242	4061	415	1910	7210	19245	72	19467	18626	32344	17925	13775	7450	1325	642	363	301	3526	1176	386	31	1	349	1	2	227	443	831	536	8644	785	29336	11489	5393	12041	6893	18701	4009	341	29	223	12	16	5	2	40	4
sq2	7530	246	383	4938	59	1456	344	167	126	425	7643	386	1506	4959	1730	1373	1186	4902	365	121	2660	1344	7	411	141	106	207	174	15	256	10	163	119	775	240	36114	16866	5100	1374	7397	791	2363	441	37715	8646	1414	22	82	4097	1104	161	141	2305	162	83	4071	170	98	2	143	24	10971	7951	2673	1269	1708	1506	530	146	1014	866	1496	1653	330	102	477	84	409	287	996	25	134	253	1	201	179	34056	55523	2504	8962	28181	2189	1420	2576	93	1921
sq3	43	23	142	39	2	11	215	29	176	73	78	0	662	35	147	83	159	861	69	137	5548	22	3	50	550	3	13	51	2	59	100	2472	459	185	369	27	697	1231	47	51	27263	33791	19014	4285	52	102	31	30259	813	130	1	35	76	29	18	124	48	107	6	349	166	91	506	163	34	7	146	60	19824	229	677	801	16806	15	16	31	28	14	203	946	292	23	97	179	347	51	103	8188	36	1285	8380	20324	194	48618	48493	1582
sq4	13	19	274	198	43	94	1008	6	420	5	41	133	1114	10	4	32	50	309	1075	67	404	114	54	1362	1834	2700	787	60	2301	1153	1377	801	796	26304	291	128	5	43	780	203	123	3584	60	52	114	1836	1097	43	1013	6	39	482	2863	3491	576	23	387	1697	1126	1288	1022	943	60	292	195	2	859	44	18	40	47	107	8110	2044	1867	39039	46	420	19381	52	1327	608	2	478	817	546	349	50	6	41	701	799	29925	206	115	610
sq5	0	1	0	0	1	3	13	103	0	3	1	1	0	1	13	0	3	0	35	1	498	0	0	0	0	8	259	1	247	1373	99	169	11	9	1	0	5	5049	2649	349	18	48	747	857	1	50	1	0	2	0	1	149	20	3	0	1	693	587	10	57	12	499	0	1	0	1	0	4	22	0	2	6	1	0	2902	907	90	5	4519	33	556	3	111	43221	91547	7	4352	1745	22	86	51	27	86	1169	1553	1639
sq6	7	0	3882	353	2	0	1	3	0	0	0	0	2613	2	2	0	1	672	1710	0	82	219	34	16780	18713	14229	5795	47	0	0	2	1	0	0	0	387	1	4	4	5	8	5	75	43	0	74	1	4	0	3594	1736	27704	349	1318	18	14	0	1	2	60	0	0	36	0	1	3	81	2	9	1	3281	3726	20733	17958	11463	3698	357	66	1483	4127	0	9	1	1	0	2	0	95	755	1	3	1	1	8	1	92
sq7	2	0	0	1	2	25	0	0	0	0	6	5	3	1	0	0	0	2	0	3	1470	3	0	8	1	0	0	0	2	4	4	0	1	0	0	0	17792	48604	39287	8676	270	6	788	5280	8	2	1	0	5	7	37	1	0	1	5	58	11	2	1	0	0	0	1	2	1	1	1	0	0	0	0	6	0	2	1	0	1	0	0	3	2	5	2	0	331	1551	365	9749	1	26949	404	195	1085	0	1	10
sq8	207	342	593	128	10	301	3	45	3	104	234	4	165	605	23831	20449	2830	74	26	3	306	6	259	137	0	978	158	4	1	9	35	13	9	26	9	4202	82	9	36	33	1371	444	244	5	28	8	19	984	16	30	7	213	24823	64	0	254	67	28	4	14	15559	5911	1	5551	12879	2608	883	1682	4852	51	239	275	77	353	95	6	67	33	3	250	16	22	18	3	4	8	258	32	5	6	387	2092	1181	378	1161	622
sq9	144	881	1308	238	3019	2147	1604	1183	333	1108	1953	838	720	766	1777	1311	384	221	2722	2098	118	205	2453	232	174	596	2066	4348	1532	2396	1762	6956	3491	978	1018	549	97	318	478	497	100	99	114	885	1552	3443	1783	170	1574	4161	1690	1420	1002	3242	2852	647	2719	2869	5646	3934	3681	612	421	317	378	161	1538	506	118	127	405	534	667	274	688	1417	466	631	1983	486	3118	2852	1479	981	438	2955	1000	491	1375	969	446	644	287	89	205	126
sq10	2	34	17	128	0	521	2	0	0	0	0	0	0	0	24	12	7	0	0	0	0	0	0	0	0	6	2	207	0	0	0	11	0	0	5	0	0	0	0	0	2	0	0	3	0	0	22	1	31	0	0	5	0	0	0	0	0	0	197	0	0	0	0	0	21	63	2184	2	6	12	0	0	4	0	3	0	0	114062	0	0	0	0	0	34	117	58	0	2	1498	66	0	0	7	0	1	4791
