biome	year	month	day	hour	date	depth_CTD-onRAS	CTD-belowRAS	density_kg.m^3_CTD-onRAS	density_kg.m^3_CTD-belowRAS	strat	minimum_MLD
WSC	2016	8	1	0	2016-08-01	31	57	27.59	27.76	0.0000601	0
WSC	2016	8	1	1	2016-08-01	31	56	27.59	27.76	0.0000603	0
WSC	2016	8	1	2	2016-08-01	30	56	27.59	27.76	0.0000604	0
WSC	2016	8	1	3	2016-08-01	30	56	27.59	27.76	0.0000605	0
WSC	2016	8	1	4	2016-08-01	30	56	27.59	27.76	0.0000606	0
WSC	2016	8	1	5	2016-08-01	30	56	27.59	27.76	0.0000607	0
WSC	2016	8	1	6	2016-08-01	30	56	27.59	27.76	0.0000608	0
WSC	2016	8	1	7	2016-08-01	30	56	27.59	27.76	0.0000609	0
WSC	2016	8	1	8	2016-08-01	30	56	27.59	27.76	0.000061	0
WSC	2016	8	1	9	2016-08-01	31	56	27.59	27.76	0.0000611	0
WSC	2016	8	1	10	2016-08-01	31	57	27.59	27.76	0.0000612	0
WSC	2016	8	1	11	2016-08-01	31	57	27.59	27.76	0.0000613	0
WSC	2016	8	1	12	2016-08-01	31	57	27.59	27.76	0.0000614	0
WSC	2016	8	1	13	2016-08-01	31	57	27.59	27.76	0.0000615	0
WSC	2016	8	1	14	2016-08-01	31	56	27.59	27.76	0.0000616	0
WSC	2016	8	1	15	2016-08-01	30	56	27.59	27.76	0.0000617	0
WSC	2016	8	1	16	2016-08-01	30	56	27.59	27.76	0.0000617	0
WSC	2016	8	1	17	2016-08-01	30	56	27.59	27.76	0.0000618	0
WSC	2016	8	1	18	2016-08-01	30	56	27.59	27.76	0.0000619	0
WSC	2016	8	1	19	2016-08-01	30	56	27.59	27.76	0.000062	0
WSC	2016	8	1	20	2016-08-01	31	56	27.59	27.76	0.000062	0
WSC	2016	8	1	21	2016-08-01	31	56	27.59	27.76	0.0000621	0
WSC	2016	8	1	22	2016-08-01	31	57	27.59	27.76	0.0000621	0
WSC	2016	8	1	23	2016-08-01	31	57	27.59	27.76	0.0000622	0
WSC	2016	8	2	0	2016-08-02	31	57	27.59	27.75	0.0000622	0
WSC	2016	8	2	1	2016-08-02	31	57	27.59	27.75	0.0000623	0
WSC	2016	8	2	2	2016-08-02	31	56	27.58	27.75	0.0000623	0
WSC	2016	8	2	3	2016-08-02	31	56	27.58	27.75	0.0000624	0
WSC	2016	8	2	4	2016-08-02	30	56	27.58	27.75	0.0000624	0
WSC	2016	8	2	5	2016-08-02	30	56	27.58	27.75	0.0000624	0
WSC	2016	8	2	6	2016-08-02	30	56	27.58	27.75	0.0000624	0
WSC	2016	8	2	7	2016-08-02	30	56	27.58	27.75	0.0000625	0
WSC	2016	8	2	8	2016-08-02	30	56	27.58	27.75	0.0000625	0
WSC	2016	8	2	9	2016-08-02	30	56	27.58	27.75	0.0000625	0
WSC	2016	8	2	10	2016-08-02	31	56	27.58	27.75	0.0000625	0
WSC	2016	8	2	11	2016-08-02	31	57	27.58	27.75	0.0000625	0
WSC	2016	8	2	12	2016-08-02	31	57	27.58	27.75	0.0000625	0
WSC	2016	8	2	13	2016-08-02	31	57	27.58	27.75	0.0000625	0
WSC	2016	8	2	14	2016-08-02	31	56	27.58	27.75	0.0000625	0
WSC	2016	8	2	15	2016-08-02	31	56	27.58	27.75	0.0000625	0
WSC	2016	8	2	16	2016-08-02	30	56	27.58	27.75	0.0000624	0
WSC	2016	8	2	17	2016-08-02	30	56	27.58	27.75	0.0000624	0
WSC	2016	8	2	18	2016-08-02	30	56	27.58	27.75	0.0000624	0
WSC	2016	8	2	19	2016-08-02	30	56	27.58	27.75	0.0000623	0
WSC	2016	8	2	20	2016-08-02	30	56	27.58	27.75	0.0000623	0
WSC	2016	8	2	21	2016-08-02	30	56	27.58	27.75	0.0000622	0
WSC	2016	8	2	22	2016-08-02	31	56	27.58	27.75	0.0000622	0
WSC	2016	8	2	23	2016-08-02	31	57	27.58	27.74	0.0000621	0
WSC	2016	8	3	0	2016-08-03	31	57	27.58	27.74	0.000062	0
WSC	2016	8	3	1	2016-08-03	31	57	27.58	27.74	0.0000619	0
WSC	2016	8	3	2	2016-08-03	31	57	27.58	27.74	0.0000618	0
WSC	2016	8	3	3	2016-08-03	31	57	27.58	27.74	0.0000617	0
WSC	2016	8	3	4	2016-08-03	31	56	27.58	27.74	0.0000616	0
WSC	2016	8	3	5	2016-08-03	30	56	27.58	27.74	0.0000615	0
WSC	2016	8	3	6	2016-08-03	30	56	27.58	27.74	0.0000614	0
WSC	2016	8	3	7	2016-08-03	30	56	27.58	27.74	0.0000613	0
WSC	2016	8	3	8	2016-08-03	30	56	27.58	27.74	0.0000612	0
WSC	2016	8	3	9	2016-08-03	30	56	27.58	27.74	0.000061	0
WSC	2016	8	3	10	2016-08-03	31	56	27.58	27.74	0.0000609	0
WSC	2016	8	3	11	2016-08-03	31	56	27.58	27.74	0.0000607	0
WSC	2016	8	3	12	2016-08-03	31	57	27.58	27.74	0.0000606	0
WSC	2016	8	3	13	2016-08-03	31	57	27.58	27.74	0.0000604	0
WSC	2016	8	3	14	2016-08-03	31	57	27.58	27.74	0.0000602	0
WSC	2016	8	3	15	2016-08-03	31	57	27.58	27.74	0.00006	0
WSC	2016	8	3	16	2016-08-03	31	56	27.58	27.74	0.0000598	0
WSC	2016	8	3	17	2016-08-03	30	56	27.58	27.74	0.0000596	0
WSC	2016	8	3	18	2016-08-03	30	56	27.58	27.74	0.0000594	0
WSC	2016	8	3	19	2016-08-03	30	56	27.58	27.74	0.0000592	0
WSC	2016	8	3	20	2016-08-03	31	56	27.58	27.74	0.0000589	0
WSC	2016	8	3	21	2016-08-03	31	56	27.58	27.74	0.0000587	0
WSC	2016	8	3	22	2016-08-03	31	57	27.58	27.74	0.0000584	0
WSC	2016	8	3	23	2016-08-03	31	57	27.58	27.74	0.0000582	0
WSC	2016	8	4	0	2016-08-04	31	57	27.58	27.74	0.0000579	0
WSC	2016	8	4	1	2016-08-04	32	57	27.58	27.74	0.0000576	0
WSC	2016	8	4	2	2016-08-04	32	57	27.58	27.74	0.0000573	0
WSC	2016	8	4	3	2016-08-04	32	57	27.58	27.74	0.000057	0
WSC	2016	8	4	4	2016-08-04	31	57	27.59	27.74	0.0000567	0
WSC	2016	8	4	5	2016-08-04	31	56	27.59	27.74	0.0000564	0
WSC	2016	8	4	6	2016-08-04	30	56	27.59	27.74	0.0000561	0
WSC	2016	8	4	7	2016-08-04	30	56	27.59	27.74	0.0000558	0
WSC	2016	8	4	8	2016-08-04	30	56	27.59	27.74	0.0000554	0
WSC	2016	8	4	9	2016-08-04	30	56	27.59	27.74	0.0000551	0
WSC	2016	8	4	10	2016-08-04	30	56	27.59	27.74	0.0000547	0
WSC	2016	8	4	11	2016-08-04	31	56	27.59	27.74	0.0000544	0
WSC	2016	8	4	12	2016-08-04	31	57	27.59	27.74	0.000054	0
WSC	2016	8	4	13	2016-08-04	31	57	27.59	27.74	0.0000536	0
WSC	2016	8	4	14	2016-08-04	31	57	27.6	27.74	0.0000533	0
WSC	2016	8	4	15	2016-08-04	31	57	27.6	27.74	0.0000529	0
WSC	2016	8	4	16	2016-08-04	31	57	27.6	27.74	0.0000525	0
WSC	2016	8	4	17	2016-08-04	31	56	27.6	27.74	0.0000521	0
WSC	2016	8	4	18	2016-08-04	31	56	27.6	27.74	0.0000517	0
WSC	2016	8	4	19	2016-08-04	31	57	27.6	27.74	0.0000513	0
WSC	2016	8	4	20	2016-08-04	31	57	27.6	27.74	0.0000509	0
WSC	2016	8	4	21	2016-08-04	31	57	27.6	27.74	0.0000505	0
WSC	2016	8	4	22	2016-08-04	31	57	27.61	27.74	0.0000501	0
WSC	2016	8	4	23	2016-08-04	31	57	27.61	27.74	0.0000497	0
WSC	2016	8	5	0	2016-08-05	31	57	27.61	27.74	0.0000493	0
WSC	2016	8	5	1	2016-08-05	31	57	27.61	27.74	0.0000489	0
WSC	2016	8	5	2	2016-08-05	31	57	27.61	27.74	0.0000485	0
WSC	2016	8	5	3	2016-08-05	31	57	27.61	27.74	0.000048	0
WSC	2016	8	5	4	2016-08-05	31	57	27.61	27.74	0.0000476	0
WSC	2016	8	5	5	2016-08-05	31	57	27.62	27.74	0.0000472	0
WSC	2016	8	5	6	2016-08-05	31	57	27.62	27.74	0.0000468	0
WSC	2016	8	5	7	2016-08-05	31	57	27.62	27.74	0.0000464	0
WSC	2016	8	5	8	2016-08-05	32	57	27.62	27.74	0.000046	0
WSC	2016	8	5	9	2016-08-05	32	57	27.62	27.74	0.0000456	0
WSC	2016	8	5	10	2016-08-05	32	58	27.62	27.74	0.0000453	0
WSC	2016	8	5	11	2016-08-05	32	58	27.62	27.75	0.0000449	0
WSC	2016	8	5	12	2016-08-05	32	57	27.62	27.75	0.0000445	0
WSC	2016	8	5	13	2016-08-05	32	58	27.63	27.75	0.0000441	0
WSC	2016	8	5	14	2016-08-05	32	57	27.63	27.75	0.0000438	0
WSC	2016	8	5	15	2016-08-05	32	57	27.63	27.75	0.0000434	0
WSC	2016	8	5	16	2016-08-05	31	57	27.63	27.75	0.0000431	0
WSC	2016	8	5	17	2016-08-05	31	57	27.63	27.75	0.0000428	0
WSC	2016	8	5	18	2016-08-05	32	57	27.63	27.75	0.0000424	0
WSC	2016	8	5	19	2016-08-05	32	58	27.63	27.75	0.0000421	0
WSC	2016	8	5	20	2016-08-05	33	59	27.63	27.75	0.0000418	0
WSC	2016	8	5	21	2016-08-05	34	59	27.63	27.75	0.0000416	0
WSC	2016	8	5	22	2016-08-05	34	60	27.64	27.75	0.0000413	0
WSC	2016	8	5	23	2016-08-05	34	60	27.64	27.75	0.000041	0
WSC	2016	8	6	0	2016-08-06	33	58	27.64	27.75	0.0000408	0
WSC	2016	8	6	1	2016-08-06	32	58	27.64	27.75	0.0000405	0
WSC	2016	8	6	2	2016-08-06	32	57	27.64	27.75	0.0000403	0
WSC	2016	8	6	3	2016-08-06	32	57	27.64	27.75	0.0000401	0
WSC	2016	8	6	4	2016-08-06	32	57	27.64	27.75	0.0000399	0
WSC	2016	8	6	5	2016-08-06	31	57	27.64	27.75	0.0000398	0
WSC	2016	8	6	6	2016-08-06	31	57	27.64	27.75	0.0000396	0
WSC	2016	8	6	7	2016-08-06	31	57	27.64	27.75	0.0000395	0
WSC	2016	8	6	8	2016-08-06	32	57	27.64	27.75	0.0000394	0
WSC	2016	8	6	9	2016-08-06	32	58	27.64	27.75	0.0000393	0
WSC	2016	8	6	10	2016-08-06	33	59	27.64	27.75	0.0000392	0
WSC	2016	8	6	11	2016-08-06	33	58	27.64	27.75	0.0000391	0
WSC	2016	8	6	12	2016-08-06	33	58	27.64	27.75	0.0000391	0
WSC	2016	8	6	13	2016-08-06	32	58	27.64	27.75	0.000039	0
WSC	2016	8	6	14	2016-08-06	32	57	27.64	27.75	0.000039	0
WSC	2016	8	6	15	2016-08-06	31	57	27.64	27.75	0.0000391	0
WSC	2016	8	6	16	2016-08-06	31	57	27.64	27.75	0.0000391	0
WSC	2016	8	6	17	2016-08-06	31	56	27.64	27.75	0.0000391	0
WSC	2016	8	6	18	2016-08-06	31	56	27.64	27.75	0.0000392	0
WSC	2016	8	6	19	2016-08-06	30	56	27.64	27.75	0.0000393	0
WSC	2016	8	6	20	2016-08-06	31	56	27.64	27.75	0.0000394	0
WSC	2016	8	6	21	2016-08-06	31	56	27.64	27.75	0.0000395	0
WSC	2016	8	6	22	2016-08-06	31	57	27.64	27.75	0.0000397	0
WSC	2016	8	6	23	2016-08-06	31	57	27.64	27.75	0.0000398	0
WSC	2016	8	7	0	2016-08-07	31	57	27.64	27.75	0.00004	0
WSC	2016	8	7	1	2016-08-07	31	57	27.64	27.75	0.0000402	0
WSC	2016	8	7	2	2016-08-07	31	57	27.64	27.75	0.0000405	0
WSC	2016	8	7	3	2016-08-07	31	57	27.64	27.75	0.0000407	0
WSC	2016	8	7	4	2016-08-07	31	57	27.64	27.75	0.000041	0
WSC	2016	8	7	5	2016-08-07	31	57	27.64	27.75	0.0000413	0
WSC	2016	8	7	6	2016-08-07	31	56	27.64	27.75	0.0000416	0
WSC	2016	8	7	7	2016-08-07	30	56	27.64	27.75	0.0000419	0
WSC	2016	8	7	8	2016-08-07	30	56	27.63	27.75	0.0000422	0
WSC	2016	8	7	9	2016-08-07	30	56	27.63	27.75	0.0000426	0
WSC	2016	8	7	10	2016-08-07	31	56	27.63	27.75	0.000043	0
WSC	2016	8	7	11	2016-08-07	31	56	27.63	27.75	0.0000434	0
WSC	2016	8	7	12	2016-08-07	31	57	27.63	27.75	0.0000438	0
WSC	2016	8	7	13	2016-08-07	31	57	27.63	27.75	0.0000442	0
WSC	2016	8	7	14	2016-08-07	31	57	27.63	27.75	0.0000446	0
WSC	2016	8	7	15	2016-08-07	31	57	27.63	27.75	0.0000451	0
WSC	2016	8	7	16	2016-08-07	31	57	27.62	27.75	0.0000456	56.82
WSC	2016	8	7	17	2016-08-07	31	57	27.62	27.75	0.0000461	0
WSC	2016	8	7	18	2016-08-07	31	56	27.62	27.75	0.0000466	0
WSC	2016	8	7	19	2016-08-07	31	56	27.62	27.75	0.0000471	0
WSC	2016	8	7	20	2016-08-07	31	56	27.62	27.75	0.0000477	0
WSC	2016	8	7	21	2016-08-07	31	57	27.62	27.75	0.0000482	0
WSC	2016	8	7	22	2016-08-07	32	57	27.62	27.75	0.0000488	0
WSC	2016	8	7	23	2016-08-07	32	58	27.61	27.75	0.0000494	0
WSC	2016	8	8	0	2016-08-08	32	58	27.61	27.75	0.0000499	0
WSC	2016	8	8	1	2016-08-08	32	57	27.61	27.75	0.0000506	0
WSC	2016	8	8	2	2016-08-08	32	57	27.61	27.75	0.0000512	0
WSC	2016	8	8	3	2016-08-08	31	57	27.61	27.75	0.0000518	0
WSC	2016	8	8	4	2016-08-08	31	57	27.61	27.75	0.0000524	0
WSC	2016	8	8	5	2016-08-08	31	57	27.6	27.75	0.0000531	0
WSC	2016	8	8	6	2016-08-08	31	57	27.6	27.75	0.0000538	0
WSC	2016	8	8	7	2016-08-08	31	56	27.6	27.75	0.0000544	0
WSC	2016	8	8	8	2016-08-08	31	57	27.6	27.75	0.0000551	0
WSC	2016	8	8	9	2016-08-08	31	57	27.6	27.75	0.0000558	0
WSC	2016	8	8	10	2016-08-08	33	58	27.59	27.75	0.0000565	0
WSC	2016	8	8	11	2016-08-08	33	59	27.59	27.75	0.0000572	0
WSC	2016	8	8	12	2016-08-08	34	59	27.59	27.75	0.0000579	0
WSC	2016	8	8	13	2016-08-08	33	59	27.59	27.75	0.0000587	0
WSC	2016	8	8	14	2016-08-08	33	58	27.59	27.75	0.0000594	0
WSC	2016	8	8	15	2016-08-08	32	58	27.58	27.75	0.0000601	0
WSC	2016	8	8	16	2016-08-08	32	57	27.58	27.75	0.0000609	0
WSC	2016	8	8	17	2016-08-08	31	57	27.58	27.75	0.0000616	0
WSC	2016	8	8	18	2016-08-08	31	57	27.58	27.75	0.0000624	0
WSC	2016	8	8	19	2016-08-08	31	57	27.58	27.75	0.0000632	0
WSC	2016	8	8	20	2016-08-08	31	56	27.57	27.75	0.0000639	0
